epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0,0.5384615659713745,0.541208028793335,0.9473024606704712,0.5483871102333069,0.4533333480358124,0.5,0.5645160675048828,0.7375203371047974,0.5,1.0,0.0010000000474974513
1,0.6187291145324707,0.6282997727394104,0.7635241746902466,0.608433723449707,0.6733333468437195,0.5,0.4495317339897156,0.7583829760551453,0.5,1.0,0.0010000000474974513
2,0.6655518412590027,0.7243624329566956,0.721794843673706,0.7118644118309021,0.5600000023841858,0.5,0.7148803472518921,0.9310680627822876,0.5,1.0,0.0010000000474974513
3,0.6722407937049866,0.7416554689407349,0.6540281772613525,0.6884058117866516,0.6333333253860474,0.5,0.7486992478370667,0.9787198901176453,0.5,1.0,0.0010000000474974513
4,0.6722407937049866,0.7298210263252258,0.6776355504989624,0.6585366129875183,0.7200000286102295,0.5,0.7934443354606628,1.199555516242981,0.5,1.0,0.0010000000474974513
5,0.6454849243164062,0.7071141600608826,0.6825752258300781,0.6428571343421936,0.6600000262260437,0.5,0.5525494813919067,1.432958960533142,0.5,1.0,0.0010000000474974513
6,0.6822742223739624,0.7757046818733215,0.615730881690979,0.6797385811805725,0.6933333277702332,0.5,0.6217482089996338,1.4261891841888428,0.5,1.0,0.0005000000237487257
7,0.7257525324821472,0.7913200259208679,0.6049288511276245,0.7428571581840515,0.6933333277702332,0.5,0.7055150866508484,1.4056448936462402,0.5,1.0,0.0005000000237487257
8,0.692307710647583,0.7628411650657654,0.6216500997543335,0.6858974099159241,0.7133333086967468,0.5,0.6831425428390503,1.3332667350769043,0.5,1.0,0.0005000000237487257
9,0.7090300917625427,0.7755480408668518,0.6161460876464844,0.688622772693634,0.7666666507720947,0.5,0.7190426588058472,1.2657407522201538,0.5,1.0,0.0005000000237487257
10,0.739130437374115,0.79346764087677,0.6302837133407593,0.7432432174682617,0.7333333492279053,0.5,0.6295525431632996,1.3617074489593506,0.5,1.0,0.0005000000237487257
